iter	Passed	Remaining
0	10	10955
1	15	7798
2	24	8271
3	29	7252
4	34	6776
5	40	6708
6	45	6390
7	54	6790
8	58	6446
9	62	6159
10	68	6163
11	72	5948
12	75	5764
13	82	5827
14	88	5781
15	92	5695
16	98	5722
17	102	5582
18	105	5472
19	109	5345
20	113	5294
21	117	5202
22	120	5105
23	123	5016
24	128	4997
25	131	4927
26	134	4860
27	139	4848
28	144	4842
29	147	4783
30	151	4734
31	157	4749
32	159	4687
33	163	4637
34	166	4597
35	172	4618
36	176	4601
37	180	4566
38	183	4528
39	189	4544
40	192	4503
41	195	4464
42	198	4427
43	204	4441
44	207	4409
45	211	4382
46	214	4348
47	220	4377
48	224	4350
49	227	4325
50	231	4299
51	235	4300
52	239	4277
53	242	4252
54	245	4222
55	250	4226
56	253	4199
57	256	4172
58	260	4147
59	266	4167
60	269	4151
61	273	4138
62	277	4127
63	281	4123
64	285	4105
65	288	4083
66	291	4063
67	297	4075
68	300	4054
69	303	4035
70	306	4012
71	311	4019
72	316	4020
73	319	4003
74	323	3995
75	329	4001
76	332	3986
77	336	3975
78	340	3974
79	344	3964
80	348	3955
81	352	3950
82	357	3947
83	361	3943
84	365	3932
85	369	3930
86	374	3928
87	379	3929
88	383	3924
89	388	3923
90	391	3906
91	394	3890
92	397	3876
93	401	3874
94	405	3862
95	408	3849
96	411	3833
97	415	3823
98	418	3811
99	421	3797
100	425	3786
101	429	3777
102	432	3764
103	435	3748
104	438	3736
105	441	3727
106	445	3722
107	450	3717
108	453	3705
109	456	3695
110	460	3687
111	463	3678
112	467	3669
113	470	3659
114	474	3650
115	477	3640
116	481	3631
117	484	3619
118	487	3611
119	490	3599
120	494	3593
121	497	3582
122	500	3571
123	503	3560
124	507	3555
125	510	3544
126	514	3534
127	517	3522
128	519	3510
129	523	3504
130	527	3497
131	530	3489
132	534	3482
133	538	3478
134	541	3469
135	544	3460
136	547	3451
137	550	3441
138	555	3440
139	558	3432
140	562	3423
141	565	3417
142	570	3416
143	573	3408
144	576	3399
145	580	3393
146	584	3390
147	588	3385
148	591	3379
149	595	3371
150	599	3367
151	602	3360
152	606	3356
153	609	3348
154	613	3343
155	616	3336
156	620	3329
157	623	3320
158	626	3312
159	629	3305
160	633	3301
161	636	3292
162	640	3287
163	643	3277
164	646	3273
165	650	3267
166	653	3261
167	657	3256
168	661	3251
169	664	3244
170	667	3237
171	670	3229
172	674	3223
173	678	3218
174	681	3212
175	684	3206
176	688	3200
177	692	3198
178	696	3193
179	700	3188
180	703	3183
181	707	3178
182	710	3171
183	713	3164
184	717	3159
185	720	3155
186	725	3153
187	728	3148
188	732	3143
189	735	3136
190	742	3145
191	746	3143
192	750	3137
193	754	3136
194	758	3129
195	761	3122
196	764	3115
197	767	3108
198	771	3106
199	774	3099
200	777	3092
201	781	3086
202	784	3079
203	787	3074
204	791	3068
205	794	3062
206	797	3056
207	802	3054
208	805	3048
209	808	3042
210	812	3036
211	815	3030
212	818	3024
213	821	3018
214	824	3011
215	828	3006
216	831	3001
217	835	2996
218	838	2990
219	841	2984
220	845	2979
221	848	2972
222	851	2966
223	854	2959
224	857	2953
225	860	2948
226	864	2942
227	867	2936
228	869	2928
229	872	2922
230	876	2917
231	879	2911
232	882	2904
233	885	2897
234	888	2890
235	891	2886
236	894	2879
237	897	2874
238	901	2870
239	904	2865
240	909	2863
241	912	2859
242	916	2854
243	919	2849
244	923	2844
245	926	2838
246	929	2832
247	932	2826
248	935	2820
249	939	2818
250	943	2814
251	946	2810
252	949	2804
253	953	2800
254	956	2795
255	960	2791
256	963	2785
257	966	2780
258	970	2776
259	973	2771
260	976	2765
261	979	2760
262	982	2754
263	986	2749
264	989	2743
265	992	2738
266	995	2733
267	999	2729
268	1002	2725
269	1006	2720
270	1009	2715
271	1012	2710
272	1016	2706
273	1019	2701
274	1022	2696
275	1025	2690
276	1028	2685
277	1032	2680
278	1035	2676
279	1039	2672
280	1042	2668
281	1046	2664
282	1049	2660
283	1053	2655
284	1056	2651
285	1060	2646
286	1063	2642
287	1066	2637
288	1069	2631
289	1072	2626
290	1075	2621
291	1079	2616
292	1082	2611
293	1085	2606
294	1088	2602
295	1092	2599
296	1096	2595
297	1099	2589
298	1102	2585
299	1106	2580
300	1109	2577
301	1113	2573
302	1116	2568
303	1119	2563
304	1122	2558
305	1126	2555
306	1129	2550
307	1133	2546
308	1136	2541
309	1140	2539
310	1144	2535
311	1147	2530
312	1150	2525
313	1154	2521
314	1157	2517
315	1160	2512
316	1163	2507
317	1166	2502
318	1170	2498
319	1173	2493
320	1176	2488
321	1179	2484
322	1183	2479
323	1186	2475
324	1189	2471
325	1193	2467
326	1196	2463
327	1201	2461
328	1204	2456
329	1207	2452
330	1211	2447
331	1214	2443
332	1217	2438
333	1220	2434
334	1223	2429
335	1226	2424
336	1230	2419
337	1233	2415
338	1236	2411
339	1240	2407
340	1243	2403
341	1247	2399
342	1250	2395
343	1254	2391
344	1257	2387
345	1260	2382
346	1263	2378
347	1267	2373
348	1269	2368
349	1273	2364
350	1276	2360
351	1280	2356
352	1283	2352
353	1287	2349
354	1292	2348
355	1296	2344
356	1299	2340
357	1302	2336
358	1305	2331
359	1309	2328
360	1312	2323
361	1315	2318
362	1318	2314
363	1321	2308
364	1324	2304
365	1328	2300
366	1331	2296
367	1335	2293
368	1338	2289
369	1342	2285
370	1345	2281
371	1349	2277
372	1352	2274
373	1356	2270
374	1360	2267
375	1363	2263
376	1366	2258
377	1370	2254
378	1373	2250
379	1376	2246
380	1379	2241
381	1383	2237
382	1386	2233
383	1389	2229
384	1393	2225
385	1397	2222
386	1400	2218
387	1404	2214
388	1407	2210
389	1410	2206
390	1413	2201
391	1416	2197
392	1420	2193
393	1423	2189
394	1426	2184
395	1429	2180
396	1432	2176
397	1436	2172
398	1439	2168
399	1443	2164
400	1446	2160
401	1449	2156
402	1453	2152
403	1456	2148
404	1459	2144
405	1463	2140
406	1466	2136
407	1469	2132
408	1472	2128
409	1475	2123
410	1479	2120
411	1482	2115
412	1485	2111
413	1488	2107
414	1491	2102
415	1495	2099
416	1498	2095
417	1502	2091
418	1505	2087
419	1509	2084
420	1513	2080
421	1516	2076
422	1519	2072
423	1523	2069
424	1526	2065
425	1529	2060
426	1532	2056
427	1535	2052
428	1539	2048
429	1542	2044
430	1545	2040
431	1548	2036
432	1551	2031
433	1554	2027
434	1557	2023
435	1560	2018
436	1563	2014
437	1567	2010
438	1570	2007
439	1573	2003
440	1577	1999
441	1581	1995
442	1584	1992
443	1588	1988
444	1591	1984
445	1594	1980
446	1598	1977
447	1601	1973
448	1604	1969
449	1607	1964
450	1611	1961
451	1614	1957
452	1617	1953
453	1621	1949
454	1624	1946
455	1627	1942
456	1631	1938
457	1634	1933
458	1637	1929
459	1640	1925
460	1643	1921
461	1646	1917
462	1649	1913
463	1653	1909
464	1656	1905
465	1659	1901
466	1662	1897
467	1665	1893
468	1669	1890
469	1672	1886
470	1677	1884
471	1681	1881
472	1685	1877
473	1688	1873
474	1691	1869
475	1695	1866
476	1698	1862
477	1702	1858
478	1705	1854
479	1708	1851
480	1711	1846
481	1714	1842
482	1717	1838
483	1721	1834
484	1724	1830
485	1727	1827
486	1731	1823
487	1734	1819
488	1737	1815
489	1741	1812
490	1744	1808
491	1747	1804
492	1750	1800
493	1753	1796
494	1757	1792
495	1760	1788
496	1763	1785
497	1767	1781
498	1771	1778
499	1774	1774
500	1777	1770
501	1780	1766
502	1784	1762
503	1787	1758
504	1791	1755
505	1794	1751
506	1797	1747
507	1801	1744
508	1804	1740
509	1807	1736
510	1811	1733
511	1814	1729
512	1818	1726
513	1821	1722
514	1825	1718
515	1828	1715
516	1831	1711
517	1834	1707
518	1839	1705
519	1845	1703
520	1847	1698
521	1851	1695
522	1854	1691
523	1857	1687
524	1861	1684
525	1865	1681
526	1868	1677
527	1872	1673
528	1875	1670
529	1879	1666
530	1883	1663
531	1886	1659
532	1889	1655
533	1893	1652
534	1896	1648
535	1899	1644
536	1902	1640
537	1905	1636
538	1908	1632
539	1912	1628
540	1915	1624
541	1918	1621
542	1921	1617
